PING 8.8.8.8 (8.8.8.8) 56(84) bytes of data.
64 bytes from 8.8.8.8: icmp_seq=1 ttl=117 time=38.2 ms
64 bytes from 8.8.8.8: icmp_seq=2 ttl=117 time=69.7 ms
64 bytes from 8.8.8.8: icmp_seq=4 ttl=117 time=51.7 ms
64 bytes from 8.8.8.8: icmp_seq=5 ttl=117 time=35.3 ms
64 bytes from 8.8.8.8: icmp_seq=6 ttl=117 time=32.9 ms
64 bytes from 8.8.8.8: icmp_seq=7 ttl=117 time=37.7 ms
64 bytes from 8.8.8.8: icmp_seq=8 ttl=117 time=39.6 ms
64 bytes from 8.8.8.8: icmp_seq=9 ttl=117 time=37.6 ms
64 bytes from 8.8.8.8: icmp_seq=10 ttl=117 time=23.5 ms
64 bytes from 8.8.8.8: icmp_seq=11 ttl=117 time=32.7 ms
64 bytes from 8.8.8.8: icmp_seq=12 ttl=117 time=38.1 ms
64 bytes from 8.8.8.8: icmp_seq=13 ttl=117 time=38.0 ms
64 bytes from 8.8.8.8: icmp_seq=14 ttl=117 time=34.5 ms
64 bytes from 8.8.8.8: icmp_seq=18 ttl=117 time=32.5 ms
64 bytes from 8.8.8.8: icmp_seq=19 ttl=117 time=32.9 ms
64 bytes from 8.8.8.8: icmp_seq=20 ttl=117 time=32.7 ms
64 bytes from 8.8.8.8: icmp_seq=21 ttl=117 time=37.7 ms
64 bytes from 8.8.8.8: icmp_seq=22 ttl=117 time=30.6 ms
64 bytes from 8.8.8.8: icmp_seq=23 ttl=117 time=37.8 ms
64 bytes from 8.8.8.8: icmp_seq=24 ttl=117 time=43.4 ms
64 bytes from 8.8.8.8: icmp_seq=25 ttl=117 time=28.3 ms
64 bytes from 8.8.8.8: icmp_seq=26 ttl=117 time=37.8 ms
64 bytes from 8.8.8.8: icmp_seq=27 ttl=117 time=32.6 ms
64 bytes from 8.8.8.8: icmp_seq=28 ttl=117 time=32.6 ms
64 bytes from 8.8.8.8: icmp_seq=29 ttl=117 time=32.5 ms
64 bytes from 8.8.8.8: icmp_seq=30 ttl=117 time=32.6 ms
64 bytes from 8.8.8.8: icmp_seq=31 ttl=117 time=43.1 ms
64 bytes from 8.8.8.8: icmp_seq=32 ttl=117 time=35.9 ms
64 bytes from 8.8.8.8: icmp_seq=33 ttl=117 time=37.9 ms
64 bytes from 8.8.8.8: icmp_seq=34 ttl=117 time=37.8 ms
64 bytes from 8.8.8.8: icmp_seq=39 ttl=117 time=95.6 ms
64 bytes from 8.8.8.8: icmp_seq=40 ttl=117 time=83.1 ms
64 bytes from 8.8.8.8: icmp_seq=41 ttl=117 time=70.5 ms
64 bytes from 8.8.8.8: icmp_seq=42 ttl=117 time=57.9 ms
64 bytes from 8.8.8.8: icmp_seq=43 ttl=117 time=50.6 ms
64 bytes from 8.8.8.8: icmp_seq=44 ttl=117 time=36.2 ms
64 bytes from 8.8.8.8: icmp_seq=45 ttl=117 time=32.6 ms
64 bytes from 8.8.8.8: icmp_seq=46 ttl=117 time=32.7 ms
64 bytes from 8.8.8.8: icmp_seq=47 ttl=117 time=49.8 ms
64 bytes from 8.8.8.8: icmp_seq=48 ttl=117 time=57.8 ms
64 bytes from 8.8.8.8: icmp_seq=49 ttl=117 time=48.1 ms
64 bytes from 8.8.8.8: icmp_seq=50 ttl=117 time=41.4 ms
64 bytes from 8.8.8.8: icmp_seq=51 ttl=117 time=29.2 ms
64 bytes from 8.8.8.8: icmp_seq=52 ttl=117 time=65.2 ms
64 bytes from 8.8.8.8: icmp_seq=53 ttl=117 time=54.4 ms
64 bytes from 8.8.8.8: icmp_seq=54 ttl=117 time=41.8 ms
64 bytes from 8.8.8.8: icmp_seq=55 ttl=117 time=35.2 ms
64 bytes from 8.8.8.8: icmp_seq=56 ttl=117 time=21.3 ms
64 bytes from 8.8.8.8: icmp_seq=57 ttl=117 time=32.7 ms
64 bytes from 8.8.8.8: icmp_seq=58 ttl=117 time=32.6 ms
64 bytes from 8.8.8.8: icmp_seq=59 ttl=117 time=32.6 ms
64 bytes from 8.8.8.8: icmp_seq=60 ttl=117 time=32.6 ms
64 bytes from 8.8.8.8: icmp_seq=61 ttl=117 time=37.7 ms
64 bytes from 8.8.8.8: icmp_seq=62 ttl=117 time=25.1 ms
64 bytes from 8.8.8.8: icmp_seq=63 ttl=117 time=160 ms
64 bytes from 8.8.8.8: icmp_seq=64 ttl=117 time=143 ms
64 bytes from 8.8.8.8: icmp_seq=65 ttl=117 time=115 ms
64 bytes from 8.8.8.8: icmp_seq=66 ttl=117 time=87.2 ms
64 bytes from 8.8.8.8: icmp_seq=67 ttl=117 time=59.2 ms
64 bytes from 8.8.8.8: icmp_seq=68 ttl=117 time=31.3 ms
