PING 8.8.8.8 (8.8.8.8) 56(84) bytes of data.
64 bytes from 8.8.8.8: icmp_seq=1 ttl=117 time=43.5 ms
64 bytes from 8.8.8.8: icmp_seq=2 ttl=117 time=43.4 ms
64 bytes from 8.8.8.8: icmp_seq=3 ttl=117 time=42.9 ms
64 bytes from 8.8.8.8: icmp_seq=4 ttl=117 time=41.2 ms
64 bytes from 8.8.8.8: icmp_seq=8 ttl=117 time=204 ms
64 bytes from 8.8.8.8: icmp_seq=10 ttl=117 time=188 ms
64 bytes from 8.8.8.8: icmp_seq=11 ttl=117 time=187 ms
64 bytes from 8.8.8.8: icmp_seq=12 ttl=117 time=182 ms
64 bytes from 8.8.8.8: icmp_seq=13 ttl=117 time=166 ms
64 bytes from 8.8.8.8: icmp_seq=14 ttl=117 time=150 ms
64 bytes from 8.8.8.8: icmp_seq=15 ttl=117 time=134 ms
64 bytes from 8.8.8.8: icmp_seq=16 ttl=117 time=118 ms
64 bytes from 8.8.8.8: icmp_seq=17 ttl=117 time=125 ms
64 bytes from 8.8.8.8: icmp_seq=18 ttl=117 time=122 ms
64 bytes from 8.8.8.8: icmp_seq=19 ttl=117 time=121 ms
64 bytes from 8.8.8.8: icmp_seq=20 ttl=117 time=117 ms
64 bytes from 8.8.8.8: icmp_seq=21 ttl=117 time=124 ms
64 bytes from 8.8.8.8: icmp_seq=22 ttl=117 time=129 ms
64 bytes from 8.8.8.8: icmp_seq=23 ttl=117 time=127 ms
64 bytes from 8.8.8.8: icmp_seq=24 ttl=117 time=129 ms
64 bytes from 8.8.8.8: icmp_seq=25 ttl=117 time=133 ms
64 bytes from 8.8.8.8: icmp_seq=26 ttl=117 time=128 ms
64 bytes from 8.8.8.8: icmp_seq=27 ttl=117 time=138 ms
64 bytes from 8.8.8.8: icmp_seq=28 ttl=117 time=140 ms
64 bytes from 8.8.8.8: icmp_seq=29 ttl=117 time=148 ms
64 bytes from 8.8.8.8: icmp_seq=30 ttl=117 time=143 ms
64 bytes from 8.8.8.8: icmp_seq=31 ttl=117 time=144 ms
64 bytes from 8.8.8.8: icmp_seq=32 ttl=117 time=149 ms
64 bytes from 8.8.8.8: icmp_seq=33 ttl=117 time=149 ms
64 bytes from 8.8.8.8: icmp_seq=34 ttl=117 time=161 ms
64 bytes from 8.8.8.8: icmp_seq=35 ttl=117 time=159 ms
64 bytes from 8.8.8.8: icmp_seq=36 ttl=117 time=176 ms
64 bytes from 8.8.8.8: icmp_seq=37 ttl=117 time=180 ms
64 bytes from 8.8.8.8: icmp_seq=38 ttl=117 time=186 ms
64 bytes from 8.8.8.8: icmp_seq=40 ttl=117 time=228 ms
64 bytes from 8.8.8.8: icmp_seq=41 ttl=117 time=218 ms
64 bytes from 8.8.8.8: icmp_seq=42 ttl=117 time=204 ms
64 bytes from 8.8.8.8: icmp_seq=43 ttl=117 time=225 ms
64 bytes from 8.8.8.8: icmp_seq=46 ttl=117 time=260 ms
64 bytes from 8.8.8.8: icmp_seq=48 ttl=117 time=276 ms
64 bytes from 8.8.8.8: icmp_seq=49 ttl=117 time=291 ms
64 bytes from 8.8.8.8: icmp_seq=51 ttl=117 time=313 ms
64 bytes from 8.8.8.8: icmp_seq=53 ttl=117 time=309 ms
64 bytes from 8.8.8.8: icmp_seq=54 ttl=117 time=294 ms
64 bytes from 8.8.8.8: icmp_seq=55 ttl=117 time=292 ms
64 bytes from 8.8.8.8: icmp_seq=57 ttl=117 time=332 ms
64 bytes from 8.8.8.8: icmp_seq=63 ttl=117 time=310 ms
64 bytes from 8.8.8.8: icmp_seq=64 ttl=117 time=307 ms
