PING 8.8.8.8 (8.8.8.8) 56(84) bytes of data.
64 bytes from 8.8.8.8: icmp_seq=1 ttl=117 time=38.6 ms
64 bytes from 8.8.8.8: icmp_seq=2 ttl=117 time=38.1 ms
64 bytes from 8.8.8.8: icmp_seq=3 ttl=117 time=38.2 ms
64 bytes from 8.8.8.8: icmp_seq=4 ttl=117 time=38.0 ms
64 bytes from 8.8.8.8: icmp_seq=5 ttl=117 time=38.4 ms
64 bytes from 8.8.8.8: icmp_seq=6 ttl=117 time=43.4 ms
64 bytes from 8.8.8.8: icmp_seq=7 ttl=117 time=38.1 ms
64 bytes from 8.8.8.8: icmp_seq=8 ttl=117 time=38.0 ms
64 bytes from 8.8.8.8: icmp_seq=9 ttl=117 time=38.3 ms
64 bytes from 8.8.8.8: icmp_seq=10 ttl=117 time=38.2 ms
64 bytes from 8.8.8.8: icmp_seq=11 ttl=117 time=38.3 ms
64 bytes from 8.8.8.8: icmp_seq=12 ttl=117 time=37.9 ms
64 bytes from 8.8.8.8: icmp_seq=13 ttl=117 time=38.1 ms
64 bytes from 8.8.8.8: icmp_seq=14 ttl=117 time=38.2 ms
64 bytes from 8.8.8.8: icmp_seq=15 ttl=117 time=38.0 ms
64 bytes from 8.8.8.8: icmp_seq=16 ttl=117 time=39.9 ms
64 bytes from 8.8.8.8: icmp_seq=17 ttl=117 time=38.0 ms
64 bytes from 8.8.8.8: icmp_seq=18 ttl=117 time=38.1 ms
64 bytes from 8.8.8.8: icmp_seq=19 ttl=117 time=40.0 ms
64 bytes from 8.8.8.8: icmp_seq=20 ttl=117 time=38.1 ms
64 bytes from 8.8.8.8: icmp_seq=21 ttl=117 time=38.1 ms
64 bytes from 8.8.8.8: icmp_seq=22 ttl=117 time=38.0 ms
64 bytes from 8.8.8.8: icmp_seq=23 ttl=117 time=267 ms
64 bytes from 8.8.8.8: icmp_seq=24 ttl=117 time=151 ms
64 bytes from 8.8.8.8: icmp_seq=25 ttl=117 time=41.7 ms
64 bytes from 8.8.8.8: icmp_seq=26 ttl=117 time=43.3 ms
64 bytes from 8.8.8.8: icmp_seq=27 ttl=117 time=43.2 ms
64 bytes from 8.8.8.8: icmp_seq=28 ttl=117 time=43.0 ms
64 bytes from 8.8.8.8: icmp_seq=29 ttl=117 time=43.3 ms
