PING 8.8.8.8 (8.8.8.8) 56(84) bytes of data.
64 bytes from 8.8.8.8: icmp_seq=1 ttl=117 time=43.5 ms
64 bytes from 8.8.8.8: icmp_seq=2 ttl=117 time=55.8 ms
64 bytes from 8.8.8.8: icmp_seq=3 ttl=117 time=45.5 ms
64 bytes from 8.8.8.8: icmp_seq=4 ttl=117 time=44.8 ms
64 bytes from 8.8.8.8: icmp_seq=5 ttl=117 time=42.9 ms
64 bytes from 8.8.8.8: icmp_seq=6 ttl=117 time=60.9 ms
64 bytes from 8.8.8.8: icmp_seq=7 ttl=117 time=50.7 ms
64 bytes from 8.8.8.8: icmp_seq=8 ttl=117 time=42.8 ms
64 bytes from 8.8.8.8: icmp_seq=9 ttl=117 time=42.9 ms
64 bytes from 8.8.8.8: icmp_seq=10 ttl=117 time=53.0 ms
64 bytes from 8.8.8.8: icmp_seq=11 ttl=117 time=61.1 ms
64 bytes from 8.8.8.8: icmp_seq=12 ttl=117 time=50.8 ms
64 bytes from 8.8.8.8: icmp_seq=13 ttl=117 time=42.9 ms
64 bytes from 8.8.8.8: icmp_seq=14 ttl=117 time=46.5 ms
64 bytes from 8.8.8.8: icmp_seq=15 ttl=117 time=43.0 ms
64 bytes from 8.8.8.8: icmp_seq=17 ttl=117 time=64.0 ms
64 bytes from 8.8.8.8: icmp_seq=18 ttl=117 time=46.7 ms
64 bytes from 8.8.8.8: icmp_seq=19 ttl=117 time=46.7 ms
64 bytes from 8.8.8.8: icmp_seq=20 ttl=117 time=43.0 ms
64 bytes from 8.8.8.8: icmp_seq=21 ttl=117 time=43.1 ms
64 bytes from 8.8.8.8: icmp_seq=22 ttl=117 time=50.1 ms
64 bytes from 8.8.8.8: icmp_seq=23 ttl=117 time=39.8 ms
64 bytes from 8.8.8.8: icmp_seq=24 ttl=117 time=52.0 ms
64 bytes from 8.8.8.8: icmp_seq=27 ttl=117 time=49.6 ms
64 bytes from 8.8.8.8: icmp_seq=28 ttl=117 time=43.0 ms
64 bytes from 8.8.8.8: icmp_seq=29 ttl=117 time=44.8 ms
64 bytes from 8.8.8.8: icmp_seq=30 ttl=117 time=42.9 ms
64 bytes from 8.8.8.8: icmp_seq=31 ttl=117 time=44.8 ms
64 bytes from 8.8.8.8: icmp_seq=32 ttl=117 time=43.0 ms
64 bytes from 8.8.8.8: icmp_seq=34 ttl=117 time=63.9 ms
64 bytes from 8.8.8.8: icmp_seq=35 ttl=117 time=47.2 ms
64 bytes from 8.8.8.8: icmp_seq=36 ttl=117 time=44.8 ms
64 bytes from 8.8.8.8: icmp_seq=37 ttl=117 time=43.0 ms
64 bytes from 8.8.8.8: icmp_seq=39 ttl=117 time=74.6 ms
64 bytes from 8.8.8.8: icmp_seq=40 ttl=117 time=71.3 ms
64 bytes from 8.8.8.8: icmp_seq=41 ttl=117 time=50.8 ms
64 bytes from 8.8.8.8: icmp_seq=42 ttl=117 time=40.5 ms
64 bytes from 8.8.8.8: icmp_seq=43 ttl=117 time=43.0 ms
64 bytes from 8.8.8.8: icmp_seq=44 ttl=117 time=42.9 ms
64 bytes from 8.8.8.8: icmp_seq=45 ttl=117 time=50.1 ms
64 bytes from 8.8.8.8: icmp_seq=46 ttl=117 time=40.3 ms
64 bytes from 8.8.8.8: icmp_seq=47 ttl=117 time=32.9 ms
